contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
SPY250221C00680000,2025-01-22 20:53:56+00:00,680.0,0.05,0.04,0.05,0.0,0.0,374.0,2342,0.15528188476562502,False,REGULAR,USD,call
SPY250221C00685000,2025-01-22 20:53:56+00:00,685.0,0.05,0.05,0.06,0.0,0.0,11.0,5549,0.16748879394531252,False,REGULAR,USD,call
SPY250221C00690000,2025-01-22 20:53:56+00:00,690.0,0.04,0.05,0.06,0.0,0.0,245.0,1415,0.17627776855468752,False,REGULAR,USD,call
SPY250221C00695000,2025-01-22 21:01:46+00:00,695.0,0.04,0.04,0.05,0.0,0.0,2165.0,4118,0.18164880859375,False,REGULAR,USD,call
SPY250221C00700000,2025-01-23 16:52:05+00:00,700.0,0.05,0.04,0.05,0.010000002,50.00001,5.0,4333,0.18994950683593753,False,REGULAR,USD,call
SPY250221C00705000,2025-01-23 15:32:49+00:00,705.0,0.03,0.03,0.04,0.0,0.0,1005.0,2395,0.19336744140625,False,REGULAR,USD,call
SPY250221C00710000,2025-01-23 16:09:09+00:00,710.0,0.02,0.03,0.04,-0.01,-33.333336,1.0,3030,0.20215641601562498,False,REGULAR,USD,call
SPY250221C00715000,2025-01-22 20:53:56+00:00,715.0,0.03,0.03,0.04,0.0,0.0,2237.0,2299,0.20996883789062498,False,REGULAR,USD,call
SPY250221C00720000,2025-01-22 20:53:56+00:00,720.0,0.02,0.02,0.03,0.0,0.0,3989.0,5511,0.21192194335937498,False,REGULAR,USD,call
SPY250221C00725000,2025-01-23 15:29:45+00:00,725.0,0.02,0.02,0.03,0.0,0.0,1000.0,2553,0.21973436523437498,False,REGULAR,USD,call
SPY250221C00730000,2025-01-22 20:53:56+00:00,730.0,0.02,0.02,0.03,0.0,0.0,30.0,4942,0.22657023437499998,False,REGULAR,USD,call
SPY250221C00735000,2025-01-22 20:53:56+00:00,735.0,0.02,0.02,0.03,0.0,0.0,30.0,2076,0.23438265625,False,REGULAR,USD,call
