contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,type,expirationDate,midprice,smoothed_midprice
SPY250221C00619000,2025-01-23 16:32:56+00:00,619.0,3.64,3.6,3.61,0.07000017,1.9607892,41.0,3517,0.1167690863037109,call,2025-02-21,3.605,3.6927735565965416
SPY250221C00620000,2025-01-23 16:55:26+00:00,620.0,3.26,3.25,3.29,0.1400001,4.487183,1356.0,17497,0.1159146026611328,call,2025-02-21,3.27,3.348765972357473
SPY250221C00621000,2025-01-23 16:45:27+00:00,621.0,3.07,2.95,2.97,0.13999987,4.7781525,172.0,3465,0.114693911743164,call,2025-02-21,2.96,3.014329310492723
SPY250221C00622000,2025-01-23 16:40:46+00:00,622.0,2.71,2.69,2.7,0.059999943,2.2641487,92.0,4866,0.1140225317382812,call,2025-02-21,2.6950000000000003,2.682597185756596
SPY250221C00623000,2025-01-23 16:53:51+00:00,623.0,2.43,2.42,2.44,0.08000016,3.4334834,148.0,3389,0.1132290826416015,call,2025-02-21,2.4299999999999997,2.3477163097636877
SPY250221C00624000,2025-01-23 16:51:32+00:00,624.0,2.16,2.18,2.2,0.07000017,3.3492906,285.0,2743,0.1124966680908203,call,2025-02-21,2.1900000000000004,2.0076664972853564
SPY250221C00625000,2025-01-23 16:52:56+00:00,625.0,1.95,1.96,1.97,0.07000005,3.723407,347.0,38672,0.1115811499023437,call,2025-02-21,1.9649999999999999,1.6666283656737493
SPY250221C00630000,2025-01-23 16:52:56+00:00,630.0,1.12,1.12,1.13,0.01999998,1.8181801,889.0,16111,0.1089566644287109,call,2025-02-21,1.125,1.335354635645146
SPY250221C00635000,2025-01-23 16:55:27+00:00,635.0,0.63,0.62,0.63,0.00999999,1.6129017,3367.0,12271,0.1076749389648437,call,2025-02-21,0.625,1.0287612063737686
SPY250221C00640000,2025-01-23 16:49:47+00:00,640.0,0.36,0.35,0.36,0.01000002,2.8571486,115.0,10138,0.1082852844238281,call,2025-02-21,0.355,0.7614787038399204
SPY250221C00645000,2025-01-23 16:23:05+00:00,645.0,0.22,0.21,0.22,0.0,0.0,45.0,5679,0.1108487353515624,call,2025-02-21,0.215,0.5433802046810683
SPY250221C00650000,2025-01-23 16:52:16+00:00,650.0,0.15,0.15,0.16,0.010000005,7.1428604,70.0,9549,0.1164639135742187,call,2025-02-21,0.155,0.3771110759005031
SPY250221C00655000,2025-01-23 16:38:59+00:00,655.0,0.11,0.11,0.12,0.0,0.0,24.0,3033,0.122079091796875,call,2025-02-21,0.11499999999999999,0.25842232649720304
